4.620,2.710,-0.73055764
1.43840189,-0.00452057
0.89434333,-0.00092043
0.39246019,0.23197612
0.40040604,0.20820957
0.46768045,0.07830831
0.50539588,0.05102498
0.41109610,0.06497995
0.49704125,-0.02458500
0.48000000,-0.06543380
0.40749233,-0.02063606
0.47542087,0.11520339
0.44384682,0.19333801
0.33615473,0.31784908
0.31184932,0.41289705
0.36687873,0.25710817
0.35057096,0.16057312
0.33015148,0.17056767
0.29887288,0.31736809
0.29124732,0.28016304
0.30054118,0.36412379
0.31180924,0.42687918
0.33634060,0.16374214
0.33634060,-0.05098813
0.33003788,-0.09201519
0.34132096,-0.04763470
0.35227830,0.00076742
0.34630189,0.07016712
0.35514082,0.16914379
0.41231056,0.12616880
0.41318882,0.04859238
0.33708308,0.06854540
0.36472592,0.13742837
0.39906140,0.09441524
0.36796739,0.06941547
0.29364094,0.06285847
0.25495098,0.02934714
